iter	Logloss
0	0.6757398003
1	0.6611620551
2	0.647398112
3	0.6327532552
4	0.6206442057
5	0.6101013455
6	0.5988312174
7	0.5883085937
8	0.5788886719
9	0.5701212565
10	0.561617947
11	0.5536955295
12	0.5465538194
13	0.5392992622
14	0.5329684245
15	0.5265219184
16	0.5216890734
17	0.5164892578
18	0.5121136068
19	0.5080180122
20	0.503559082
21	0.4994505751
22	0.4959437934
23	0.4922550998
24	0.4891661241
25	0.4863133681
26	0.4832522786
27	0.4806359592
28	0.4778917101
29	0.4755438911
30	0.4734942491
31	0.4712172309
32	0.4692177734
33	0.4675667318
34	0.4658106554
35	0.4643296984
36	0.4625132378
37	0.4608638238
38	0.4596232639
39	0.4584939236
40	0.457328776
41	0.4560943468
42	0.4547656793
43	0.4535831977
44	0.4524849989
45	0.4515184733
46	0.4506414931
47	0.4500031738
48	0.4489001194
49	0.4481435276
50	0.4473732096
51	0.4465668945
52	0.4457365994
53	0.4451940647
54	0.4447013346
55	0.4442143555
56	0.4434833442
57	0.4429421387
58	0.4423739692
59	0.4417637804
60	0.4412448459
61	0.4407054036
62	0.4402069499
63	0.4397634006
64	0.4392667643
65	0.4388055556
66	0.4383864204
67	0.4380281033
68	0.4377042914
69	0.4372962782
70	0.4369624566
71	0.4366629232
72	0.4363796658
73	0.4362530924
74	0.4358849013
75	0.4356133898
76	0.4352634277
77	0.4348947483
78	0.4346954753
79	0.4342510851
80	0.4339771593
81	0.4337122938
82	0.433492947
83	0.4331396756
84	0.4327539605
85	0.432558865
86	0.4322417535
87	0.4320701497
88	0.4318304579
89	0.4315468479
90	0.4313476562
91	0.4311088867
92	0.4308532172
93	0.430673367
94	0.4304918891
95	0.4303031684
96	0.4301731228
97	0.4299582248
98	0.4297202691
99	0.4295380859
100	0.4293950738
101	0.4291883681
102	0.4290043132
103	0.4287303602
104	0.4285055067
105	0.4282524414
106	0.428018826
107	0.4278706868
108	0.4277810872
109	0.4276314562
110	0.4274067112
111	0.4272632921
112	0.4270937229
113	0.4269437934
114	0.4267361654
115	0.4264686686
116	0.4263847656
117	0.4261361491
118	0.4258262261
119	0.4256818576
120	0.4255290799
121	0.4254132216
122	0.4252674154
123	0.4251832954
124	0.4250265299
125	0.4248121202
126	0.4246043294
127	0.4243486599
128	0.4241293945
129	0.4239649794
130	0.4237905002
131	0.4236802572
132	0.4234159885
133	0.4233069661
134	0.4231781955
135	0.4230169271
136	0.4228733995
137	0.4227239583
138	0.422638699
139	0.422535753
140	0.4224290365
141	0.4222503798
142	0.4221459418
143	0.4220153537
144	0.4219657661
145	0.4218024089
146	0.4217110731
147	0.4216441515
148	0.421549452
149	0.4214612088
150	0.4213719076
151	0.4211858181
152	0.4210352648
153	0.4208787706
154	0.4207886285
155	0.4207138672
156	0.4206006944
157	0.4205285102
158	0.4204112413
159	0.4202669271
160	0.4201321072
161	0.420047526
162	0.4199449056
163	0.4197681478
164	0.41966588
165	0.4194821506
166	0.4192887099
167	0.4191054687
168	0.4189953885
169	0.4188145345
170	0.4186730414
171	0.4185734321
172	0.4184998915
173	0.4183975152
174	0.418319553
175	0.4181549208
176	0.418077474
177	0.4179098036
178	0.4177489149
179	0.4176277127
180	0.4175453288
181	0.417327908
182	0.4171499023
183	0.4169591471
184	0.4168229438
185	0.4166286621
186	0.4165106608
187	0.4164401042
188	0.4162616102
189	0.4160930176
190	0.4158955349
191	0.4157838813
192	0.4157139486
193	0.4155737033
194	0.4155173882
195	0.4153728841
196	0.4153059625
197	0.415113661
198	0.4149552409
199	0.4147615289
