iter	Passed	Remaining
0	4	908
1	8	805
2	11	775
3	15	744
4	18	734
5	22	724
6	25	716
7	29	706
8	33	700
9	36	692
10	40	687
11	43	682
12	47	676
13	50	671
14	54	666
15	57	663
16	61	658
17	64	655
18	68	652
19	72	651
20	76	650
21	80	650
22	84	647
23	87	644
24	91	640
25	95	636
26	98	634
27	102	629
28	106	626
29	109	622
30	113	620
31	117	615
32	120	611
33	124	608
34	128	604
35	131	600
36	135	596
37	139	593
38	143	590
39	147	588
40	150	584
41	154	582
42	158	578
43	161	574
44	165	569
45	169	565
46	172	562
47	176	559
48	180	555
49	183	551
50	187	548
51	191	545
52	195	542
53	199	538
54	202	534
55	206	531
56	210	527
57	213	523
58	217	519
59	221	516
60	224	511
61	228	508
62	231	504
63	235	501
64	239	497
65	243	494
66	247	490
67	250	486
68	254	482
69	258	479
70	261	475
71	265	471
72	269	468
73	270	461
74	274	457
75	278	454
76	282	451
77	286	447
78	290	444
79	293	440
80	297	436
81	301	433
82	304	429
83	308	425
84	311	422
85	315	418
86	319	414
87	323	411
88	327	407
89	330	404
90	334	400
91	338	396
92	341	393
93	345	389
94	349	385
95	352	382
96	356	378
97	360	375
98	364	371
99	367	367
100	371	364
101	375	360
102	379	356
103	382	353
104	386	349
105	390	346
106	393	342
107	397	338
108	401	335
109	405	331
110	408	327
111	412	323
112	415	320
113	419	316
114	423	312
115	426	309
116	430	305
117	434	301
118	437	298
119	441	294
120	445	290
121	448	286
122	452	283
123	456	279
124	459	275
125	463	272
126	467	268
127	471	265
128	475	261
129	479	258
130	482	254
131	486	250
132	490	247
133	494	243
134	498	239
135	501	236
136	505	232
137	509	228
138	514	225
139	518	222
140	521	218
141	525	214
142	529	211
143	533	207
144	537	203
145	541	200
146	545	196
147	547	192
148	550	188
149	554	184
150	558	181
151	562	177
152	566	173
153	569	170
154	573	166
155	577	163
156	581	159
157	585	155
158	590	152
159	594	148
160	597	144
161	601	141
162	605	137
163	609	133
164	613	130
165	617	126
166	621	122
167	624	119
168	628	115
169	632	111
170	635	107
171	639	104
172	643	100
173	646	96
174	650	92
175	654	89
176	657	85
177	661	81
178	664	78
179	668	74
180	672	70
181	683	67
182	690	64
183	695	60
184	703	57
185	710	53
186	714	49
187	718	45
188	722	42
189	729	38
190	733	34
191	737	30
192	741	26
193	744	23
194	748	19
195	752	15
196	756	11
197	759	7
198	763	3
199	767	0
